Id hecho,Vehículo_víctima,Sexo,Edad_víctima,Gravedad
LC-2019-0010884,Sd,F,12,Sd
LC-2019-0010983,Sd,F,44,Sd
LC-2019-0011004,Sd,M,70,Sd
LC-2019-0011053,Sd,M,29,Sd
LC-2019-0011092,Sd,M,64,Sd
LC-2019-0011335,Sd,M,27,Sd
LC-2019-0011431,Sd,M,68,Sd
LC-2019-0153972,Sd,M,49,Sd
LC-2019-0011575,Sd,M,21,Sd
LC-2019-0153972,Sd,M,SD,Sd
LC-2019-0011908,Sd,M,15,Sd
LC-2019-0012172,Sd,M,22,Sd
LC-2019-0012293,Sd,M,22,Sd
LC-2019-0012508,Sd,M,22,Sd
LC-2019-0012578,Sd,F,74,Sd
LC-2019-0012580,Sd,M,38,Sd
LC-2019-0012638,Sd,M,34,Sd
LC-2019-0082237,Sd,M,31,Sd
LC-2019-0012823,Sd,M,19,Sd
LC-2019-0013193,Sd,M,27,Sd
LC-2019-0013235,Sd,M,45,Sd
LC-2019-0463737,Sd,M,30,Sd
LC-2019-0013370,Sd,M,30,Sd
LC-2019-0013412,Sd,F,9,Sd
LC-2019-0013412,Sd,M,9,Sd
LC-2019-0013440,Sd,F,49,Sd
LC-2019-0013452,Sd,M,39,Sd
LC-2019-0013589,Sd,M,75,Sd
LC-2019-0013652,Sd,F,35,Sd
LC-2019-0013652,Sd,F,2,Sd
LC-2019-0013652,Sd,M,26,Sd
LC-2019-0013857,Sd,M,13,Sd
LC-2019-0013857,Sd,F,13,Sd
LC-2019-0015962,Sd,M,6,Sd
LC-2019-0021745,Sd,M,75,Sd
LC-2019-0013801,Sd,M,39,Sd
LC-2019-0013840,Sd,M,22,Sd
LC-2019-0013850,Sd,F,29,Sd
LC-2019-0014140,Sd,M,9,Sd
LC-2019-0014220,Sd,M,32,Sd
LC-2019-0014314,Sd,M,42,Sd
LC-2019-0014442,Sd,M,83,Sd
LC-2019-0014448,Sd,M,62,Sd
LC-2019-0014503,Sd,M,62,Sd
LC-2019-0014534,Sd,SD,18,Sd
LC-2019-0014580,Sd,M,18,Sd
LC-2019-0014644,Sd,M,29,Sd
LC-2019-0014787,Sd,F,30,Sd
LC-2019-0014790,Sd,M,30,Sd
LC-2019-0014956,Sd,M,32,Sd
LC-2019-0015085,Sd,M,41,Sd
LC-2019-0015193,Sd,M,64,Sd
LC-2019-0015241,Sd,F,64,Sd
LC-2019-0015361,Sd,M,33,Sd
LC-2019-0015585,Sd,M,31,Sd
LC-2019-0015614,Sd,F,31,Sd
LC-2019-0006068,Sd,M,20,Sd
LC-2019-0015700,Sd,M,34,Sd
LC-2019-0015822,Sd,M,5,Sd
LC-2019-0015879,Sd,SD,6,Sd
LC-2019-0016012,Sd,F,17,Sd
LC-2019-0016105,Sd,M,40,Sd
LC-2019-0016278,Sd,M,40,Sd
LC-2019-0016388,Sd,M,SD,Sd
